,joke id,joke,word count,embedding
0,1,"A man visits the doctor. The doctor says ""I have bad news for you.You have cancer and Alzheimer's disease"".  The man replies ""Well,thank God I don't have cancer!""",28,"[ 0.2698162  -0.62762123  0.29955927 ... -0.61068237  0.8849252
 -0.6018031 ]"
1,2,"This couple had an excellent relationship going until one day he came home from work to find his girlfriend packing. He asked her why she was leaving him and she told him that she had heard awful things about him.   ""What could they possibly have said to make you move out?""   ""They told me that you were a pedophile.""   He replied, ""That's an awfully big word for a ten year old.""",71,"[ 0.5122608  -0.8958999  -0.54218143 ... -0.87078714  0.4044038
  0.37782046]"
2,3,Q. What's 200 feet long and has 4 teeth?   A. The front row at a Willie Nelson Concert.,18,"[ 0.08929367 -0.8477798   0.6520843  ...  0.03860373 -0.6069192
 -1.3001316 ]"
3,4,Q. What's the difference between a man and a toilet?   A. A toilet doesn't follow you around after you use it.,21,"[ 0.2803367  -0.810892    1.2814697  ... -0.41774237 -1.2462118
  0.12683816]"
4,5,"Q.	What's O. J. Simpson's Internet address?  A.	Slash, slash, backslash, slash, slash, escape.",14,"[ 0.20243476 -1.0007236  -0.02575929 ...  0.52183527  0.34635642
  0.06707703]"
6,7,How many feminists does it take to screw in a light bulb? That's not funny.,15,"[ 0.97699565 -0.41929433 -0.76240104 ... -0.29001367  0.61085343
  0.2328209 ]"
7,8,Q. Did you hear about the dyslexic devil worshiper?   A. He sold his soul to Santa.,16,"[ 1.31262    -0.6377243  -0.34002444 ...  0.3172096   0.22108296
  0.7307538 ]"
8,9,"A country guy goes into a city bar that has a dress code, and the maitre d'  demands he wear a tie. Discouraged, the guy goes to his car to sulk when  inspiration strikes: He's got jumper cables in the trunk! So he wraps them around his neck, sort of like a string tie (a bulky string tie to be sure) and returns to the bar. The maitre d' is reluctant, but says to the guy, ""Okay, you're a pretty resourceful fellow, you can come in... but just don't start anything""!",91,"[ 1.0933986  -0.50535023  0.2439484  ... -0.44242483  0.49885464
 -0.11942385]"
9,10,"Two cannibals are eating a clown, one turns to other and says:  ""Does this taste funny to you?",18,"[ 0.43966308 -0.51495624 -0.2028589  ... -0.38649964  0.36016372
 -0.05777308]"
10,11,"Q. What do a hurricane, a tornado, and a redneck divorce all have in common?  A. Someone's going to lose their trailer...",22,"[ 0.06428344  0.9330767  -0.03278307 ... -0.1846683   0.5536409
 -1.5371469 ]"
11,12,"A guy stood over his tee shot for what seemed an eternity, looking up, looking down, measuring the distance, figuring the wind direction and speed. Driving his partner nuts.  Finally his exasperated partner says, ""What the hell is taking so long? Hit the goddamn ball!"" The guy answers, ""My wife is up there watching me from the clubhouse. I want to make this a perfect shot."" ""Well, hell, man, you don't stand a snowball's chance in hell of hitting her from here!""",82,"[ 0.23207691  0.10720959 -0.41406873 ... -1.383348    0.53662384
 -0.89271545]"
12,13,"They asked the Japanese visitor if they have elections in his country.   ""Every Morning"" he answers.",16,"[-0.11954319  0.6882862   0.90193725 ... -0.27621457 -0.3354208
  0.6482406 ]"
13,14,"The father was very anxious to marry off his only daughter so he wanted  to impress her date. ""Do  you like to screw,"" he says. ""Huh"" replied the  surprised first date. ""My daughter she loves to screw and she's good at it,  you and her  should go screw,"" carefully explained the father. Now very  interested the boy replied, ""Yes, sir."" Minutes later the girl came down  the stairs, kissed her father goodbye and the couple left. After only a  few minutes she reappeared, furious, dress torn, hair a mess and screamed ""Dammit, Daddy, it's the TWIST, get it straight!""",99,"[ 0.58509964 -0.17657621  0.19490172 ... -0.67947596  0.8041306
  0.33919707]"
14,15,Q:  What did the blind person say when given some matzah?  A:  Who the hell wrote this?,17,"[-0.39247036 -1.2548      0.6472794  ...  0.59408784  0.05409768
 -0.53736764]"
15,16,Q. What is orange and sounds like a parrot?    A. A carrot.,12,"[ 0.81196666 -0.0073295  -0.19497943 ...  0.2925583  -0.20086521
 -0.49481425]"
16,17,How many men does it take to screw in a light bulb?   One...men will screw anything.,16,"[ 1.2135042  -0.4951125   0.09759473 ... -1.2803994   0.25149745
  0.18701573]"
17,18,"A dog walks into Western Union and asks the clerk to send a telegram. He fills out a form on which he writes down the telegram he wishes to send: ""Bow wow wow, Bow wow wow.""  The clerk says, ""You can add another 'Bow wow' for the same price.""  The dog responded, ""Now wouldn't that sound a little silly?""",59,"[ 0.01492004 -1.0279188   0.46543953 ...  0.4932806   0.20857567
 -0.11018817]"
18,19,"Q: If a person who speaks three languages is called ""tri-lingual,"" and a person who speaks two languages is called ""bi-lingual,"" what do call a person who only speaks one language?  A: American!",33,"[-0.09787777 -0.493873    0.08016377 ...  0.8590444   0.01605723
 -0.6970919 ]"
19,20,What's the difference between a MacIntosh and an Etch-A-Sketch?   You don't have to shake the Mac to clear the screen.,20,"[-0.07936075 -0.4556776   0.7720285  ...  0.01994613  0.57940036
  0.22771963]"
20,21,"What's the difference between a used tire and 365 used condoms?  One's a Goodyear, the other's a great year.",19,[0.11848501 0.27632087 0.7251185  ... 0.09472401 0.40497312 0.183286  ]
21,22,"A duck walks into a pharmacy and asks for a condom. The pharmacist says ""Would you like me to stick that on your bill?"" The duck says:  ""What kind of duck do you think I am!""",36,"[-0.35001576 -0.3529642   0.5309932  ...  0.14965625  0.68467253
  0.25018924]"
22,23,Q: What is the Australian word for a boomerang that won't    come back?   A: A stick,16,"[ 0.5901651  -0.16814432  0.1664847  ... -0.30095622  0.12230453
 -1.5898583 ]"
23,24,What do you get when you run over a parakeet with a lawnmower?  Shredded tweet.,15,"[-0.05099993 -0.13515365  0.304219   ... -0.06506515  0.8700009
  0.40916944]"
24,25,"Two kindergarten girls were talking outside: one said, ""You won't believe what I saw on the patio yesterday--a condom!""  The second girl asked, ""What's a patio?""",26,"[-0.79346544  0.9098599  -0.3380788  ... -0.2933001   0.3492465
  1.0023749 ]"
25,26,"A guy walks into a bar and sits down next to an extremely gorgeous  woman.  The first thing he notices about her though, are her pants.   They were skin-tight, high-waisted and had no obvious mechanism  (zipper, buttons or velcro) for opening them.  After several minutes of puzzling over how she got the pants up over  her hips, he finally worked up the nerve to ask her.  ""Excuse me miss,  but how do you get into your pants?""  ""Well,"" she replied, ""you can start by buying me a drink.""",88,"[ 0.7381717  -0.16471973  0.86969644 ... -0.40557694  0.12630327
 -0.55771625]"
26,27,"Clinton returns from a vacation in Arkansas and walks down  the steps of Air Force One with two pigs under his arms.  At the bottom of the steps, he says  to the honor guardsman, ""These are genuine Arkansas Razor-Back Hogs.  I got this one for Chelsea and this one for Hillary.""    The guardsman replies, ""Nice trade, Sir.""",57,"[ 0.43917128 -0.20899312  0.74661416 ... -0.06537834  0.11134364
  0.20869508]"
29,30,Q: What's the difference between a Lawyer and a Plumber?  A: A Plumber works to unclog the system.,18,"[-0.44737056 -0.21389042  0.85906386 ...  0.174665    0.02450308
 -0.3027205 ]"
30,31,"President Clinton looks up from his desk in the Oval Office to see  one of his aides nervously approach him.   ""What is it?"" exclaims the President.  ""It's this Abortion Bill Mr. President, what do you want to do  about it?"" the aide replies.  ""Just go ahead and pay it."" responds the President.",52,"[ 0.5909507  -0.8833723   0.11619081 ... -0.31938034 -0.12017651
  0.17909265]"
32,33,"What do you call an American in the finals of the world cup?  ""Hey Beer Man!""",16,"[ 0.5383145  -0.48222065  0.3375234  ... -0.12201938 -0.7661491
  0.02007666]"
33,34,"Out in the backwoods of some midwestern state, little Johnny arrives at school an hour late.  Teacher: ""Why are you so late, John?"" Johny : ""My big brother got shot in the ass."" (the teacher corrects his speech) Teacher: ""Rectum."" Johnny : ""Wrecked him!? Hell, It damn near killed him!""",50,"[ 0.49742034 -0.10807816  0.39080727 ... -0.02385915 -0.04911288
 -0.09581796]"
